Pagina,Views,Uniche,Tempo,Entrate,Rimbalzo,uscita,Valore,Author,title,Date
/innovazione/scienze/nelloceano-indiano-ce-un-enorme-buco-gravitazionale-e-forse-abbiamo-finalmente-capito-perche/,458077,420473,"273,79",417991,"66,19%","90,06%","0,00",Valeria Aiello,Nell’Oceano Indiano c’è un enorme “buco gravitazionale” e forse abbiamo finalmente capito perché,2023-07-24T17:55:09+02:00
/innovazione/scienze/gigantesco-buco-apparso-sul-sole-e-rivolto-verso-la-terra-tempeste-solari-attese-oggi-e-domani/,445098,394123,"237,75",392068,"43,10%","85,86%","0,00",Andrea Centini,"Gigantesco “buco” apparso sul Sole, è rivolto verso la Terra: tempeste solari attese oggi e domani",2023-12-04T15:37:37+01:00
/innovazione/tecnologia/che-video-stavano-girando-gli-youtuber-di-roma-prima-dello-schianto-50-ore-su-una-lamborghini/,432974,378008,"279,22",376577,"59,34%","86,36%","0,00",Valerio Berra,Che video stavano girando gli youtuber di Roma prima dello schianto: “50 ore su una Lamborghini”,2023-06-15T09:04:22+02:00
/innovazione/tecnologia/buon-natale-2023-immagini-di-auguri-e-gif-da-scaricare-gratis-il-25-dicembre/,395860,306301,"259,21",302377,"46,90%","75,28%","0,00",Redazione Innovazione,"Buon Natale 2023, immagini di auguri e Gif da scaricare gratis il 25 dicembre",2023-12-24T16:09:44+01:00
/innovazione/scienze/maurizio-costanzo-era-un-sincero-amante-degli-animali-qual-era-il-suo-preferito-e-perche/,395248,334335,"154,71",332770,"76,81%","83,94%","0,00",Andrea Centini,Maurizio Costanzo era un sincero amante degli animali: qual era il suo preferito e perché,2023-02-25T12:12:38+01:00
/innovazione/scienze/finalmente-sappiamo-cose-la-sirena-di-enjuin-venerata-in-un-tempio-giapponese/,390635,355008,"194,95",353857,"72,30%","90,24%","0,00",Andrea Centini,"Finalmente sappiamo cos’è la “sirena” di Enjuin, venerata in un tempio giapponese",2023-02-16T18:52:46+01:00
/innovazione/scienze/come-capire-se-una-persona-sta-dicendo-una-bugia-secondo-la-scienza-basta-osservare-un-solo-segnale/,388963,360138,"313,25",356888,"68,10%","91,83%","0,00",Valeria Aiello,Come capire se una persona sta dicendo una bugia: secondo la scienza basta osservare un solo segnale,2023-04-01T12:45:03+02:00
/innovazione/scienze/temperatura-superficiale-infernale-in-spagna-oltre-60-c-in-italia-attesi-quasi-50-c-nel-weekend/,350827,316717,"264,96",314511,"66,95%","88,77%","0,00",Andrea Centini,"Temperatura superficiale infernale in Spagna, oltre 60° C: in Italia attesi quasi 50° C nel weekend",2023-07-14T11:51:49+02:00
/innovazione/scienze/femmina-di-gibbone-partorisce-un-cucciolo-ma-era-sola-da-tempo-zoo-svela-il-mistero/,345201,312389,"215,66",307950,"78,55%","88,98%","0,00",Andrea Centini,Femmina di gibbone partorisce un cucciolo ma era sola da tempo: zoo svela il mistero,2023-02-03T18:32:21+01:00
/innovazione/scienze/lafrica-si-sta-spezzando-in-due-continenti-divisi-da-un-nuovo-oceano/,330950,305488,"259,40",300303,"75,53%","90,69%","0,00",Valeria Aiello,L’Africa si sta spezzando in due continenti divisi da un nuovo oceano,2023-03-09T14:02:56+01:00
/innovazione/scienze/mamma-cervo-aiuta-il-suo-cucciolo-appena-nato-ad-attraversare-la-strada-il-video-adorabile/,314142,265758,"153,52",263784,"73,99%","83,84%","0,00",Andrea Centini,Mamma cervo aiuta il suo cucciolo appena nato ad attraversare la strada: il video adorabile,2023-02-27T12:34:39+01:00
/innovazione/tecnologia/il-miliardario-che-vuole-vivere-per-sempre-dorme-in-una-stanza-in-cui-ci-sono-solo-tre-oggetti/,307732,282333,"318,10",278821,"71,67%","89,97%","0,00",Elisabetta Rosso,Il miliardario che vuole vivere per sempre dorme in una stanza in cui ci sono solo tre oggetti,2023-09-22T16:20:40+02:00
/innovazione/scienze/perche-riceviamo-il-dna-mitocondriale-solo-dalla-madre-e-non-dal-padre-svelato-il-mistero-biologico/,296557,270169,"336,87",267715,"62,78%","88,97%","0,00",Andrea Centini,Perché riceviamo il DNA mitocondriale solo dalla madre e non dal padre: svelato il mistero biologico,2023-09-21T08:26:38+02:00
/innovazione/tecnologia/libero-mail-e-virgilio-oggi-ancora-in-down-perche-non-funzionano-e-la-situazione-aggiornata/,295440,271857,"324,06",268301,"48,24%","89,52%","0,00",Valerio Berra,"Libero Mail e Virgilio non funzionano oggi 16 giugno, quando verranno risolti i problemi: la situazione aggiornata",2023-06-16T08:12:25+02:00
/innovazione/tecnologia/libero-mail-oggi-funziona-ma-non-per-tutti-cosa-succede-e-quando-si-potra-fare-login/,289957,265495,"288,20",261388,"52,87%","89,70%","0,00",Valerio Berra,"Libero Mail oggi funziona, ma non per tutti: cosa succede e quando si potrà fare login",2023-01-27T18:25:02+01:00
/innovazione/scienze/questo-e-il-cane-piu-anziano-del-mondo-ecco-quanti-anni-ha/,287712,259686,"177,50",255217,"75,99%","88,91%","0,00",Valeria Aiello,"Questo è il cane più anziano del mondo, ecco quanti anni ha",2023-02-03T09:41:18+01:00
/innovazione/tecnologia/il-gamepad-logitech-e-sopravvissuto-allimplosione-del-titan-cosa-sappiamo-della-foto-virale/,278179,254823,"258,85",252946,"67,08%","90,11%","0,00",Valerio Berra,Il gamepad Logitech è sopravvissuto all’implosione del Titan? Cosa sappiamo della foto virale,2023-06-26T15:27:13+02:00
/innovazione/scienze/perche-la-cina-ha-iniziato-a-scavare-un-buco-profondo-oltre-10-chilometri/,276542,256820,"344,99",251162,"65,91%","90,47%","0,00",Andrea Centini,Perché la Cina ha iniziato a scavare un buco profondo oltre 10 chilometri,2023-06-01T10:24:23+02:00
/innovazione/scienze/quali-sono-i-mari-e-i-laghi-piu-inquinati-ditalia/,269634,236523,"273,76",234061,"52,80%","86,10%","0,00",Valeria Aiello,Quali sono i mari e i laghi più inquinati d’Italia,2023-08-11T16:50:26+02:00
/innovazione/scienze/cose-la-tanatoprassi-la-tecnica-usata-per-imbalsamare-papa-benedetto-xvi-e-pele/,268476,237703,"203,90",235046,"64,04%","87,31%","0,00",Andrea Centini,"Cos’è la tanatoprassi, la tecnica usata per imbalsamare Papa Benedetto XVI e Pelé",2023-01-02T12:41:09+01:00
/innovazione/tecnologia/i-servizi-libero-mail-e-virgilio-non-funzionano-perche-da-tutto-il-giorno-ci-sono-problemi-per-accedere/,259585,240714,"295,32",238347,"52,88%","91,91%","0,00",Valerio Berra,"I servizi Libero Mail e Virgilio non funzionano, e la colpa potrebbe essere di un attacco hacker",2023-01-24T10:00:36+01:00
/innovazione/scienze/magnifica-eclissi-anulare-sabato-14-ottobre-a-che-ora-e-come-vede-lanello-di-fuoco/,256940,237867,"258,40",235357,"64,91%","91,21%","0,00",Andrea Centini,Magnifica eclissi anulare sabato 14 ottobre: a che ora e come vedere l’anello di fuoco,2023-10-09T15:38:26+02:00
/innovazione/scienze/eclissi-lunare-parziale-oggi-e-luna-piena-il-28-ottobre-2023-a-che-ora-e-dove-vederla-dallitalia/,253519,225003,"313,27",224528,"60,54%","88,01%","0,00",Andrea Centini,Eclissi lunare parziale e Luna Piena oggi 28 ottobre 2023: a che ora e dove vederla dall’Italia,2023-10-28T05:59:08+02:00
/innovazione/scienze/le-immagini-di-kefir-il-magnifico-gatto-maine-coon-da-record-che-vive-in-russia/,249781,216165,"198,79",214927,"61,40%","86,02%","0,00",Andrea Centini,"Le immagini di Kefir, il magnifico gatto Maine Coon da record che vive in Russia",2023-07-28T15:25:03+02:00
/innovazione/tecnologia/sulle-spiagge-dellaustralia-e-arrivato-questo-oggetto-misterioso-potrebbe-arrivare-dallo-spazio/,248060,226133,"215,88",224405,"70,58%","89,71%","0,00",Valerio Berra,"Sulle spiagge dell’Australia è arrivato questo oggetto misterioso, potrebbe venire dallo Spazio",2023-07-18T15:19:33+02:00
/innovazione/tecnologia/questionario-it-alert-dove-trovare-il-link-e-come-compilarlo-sul-sito-ufficiale/,236243,189914,"233,54",172977,"35,82%","75,72%","0,00",Valerio Berra,"Questionario IT-Alert, dove trovare il link da compilare dopo il test e come rispondere",2024-01-21T17:02:25+01:00
/innovazione/scienze/caso-giulia-cecchettin-lo-psichiatra-ce-un-modo-per-capire-se-una-relazione-e-tossica/,235747,208473,"354,76",206326,"40,58%","87,45%","0,00",Valerio Berra,"Caso Giulia Cecchettin, lo psichiatra: “C’è un modo per capire se una relazione è tossica”",2023-11-20T20:02:52+01:00
/innovazione/scienze/ha-gravi-crisi-di-vomito-per-2-anni-consecutivi-medici-scoprono-legame-con-la-cannabis/,235651,219104,"175,19",218265,"84,61%","92,39%","0,00",Andrea Centini,Ha gravi crisi di vomito per 2 anni consecutivi: medici scoprono legame con la cannabis,2023-01-30T10:49:50+01:00
/innovazione/scienze/cose-la-stimolazione-transcranica-cui-si-sta-sottoponendo-fedez-benefici-ed-effetti-collaterali/,231442,211587,"333,25",206038,"67,46%","89,31%","0,00",Andrea Centini,Cos’è la stimolazione transcranica cui si sta sottoponendo Fedez: benefici ed effetti collaterali,2023-10-07T12:38:45+02:00
/innovazione/scienze/nel-regno-unito-e-nato-un-bambino-con-il-dna-di-3-genitori-come-possibile/,229461,213334,"244,38",208511,"68,46%","90,80%","0,00",Andrea Centini,Nel Regno Unito è nato un bambino con il DNA di 3 genitori: com’è possibile,2023-05-10T10:17:23+02:00
/innovazione/scienze/la-terra-ha-appena-ricevuto-un-messaggio-trasmesso-da-un-raggio-laser-da-16-milioni-di-km-di-distanza/,227756,210783,"241,38",209187,"44,23%","90,44%","0,00",Valeria Aiello,La Terra ha appena ricevuto un messaggio trasmesso da un raggio laser da 16 milioni di km di distanza,2023-11-25T12:45:22+01:00
/innovazione/tecnologia/abbiamo-chiesto-a-chatgpt-le-soluzioni-delle-tracce-di-maturita-allo-scientifico-non-e-andata-bene/,221734,206576,"309,54",204694,"67,03%","92,06%","0,00",Valerio Berra,ChatGPT ha svolto le tracce di matematica alla Maturità per la seconda prova allo scientifico: non è andata bene,2023-06-22T12:57:07+02:00
/innovazione/scienze/eclissi-anulare-oggi-14-ottobre-a-che-ora-vedere-lanello-di-fuoco-in-diretta-dallitalia/,215980,196361,"261,71",195368,"63,20%","89,60%","0,00",Andrea Centini,"Eclissi anulare di Sole oggi 14 ottobre 2023, a che ora vederla e dove in diretta dall’Italia",2023-10-14T05:59:14+02:00
/innovazione/tecnologia/amici-22-la-noce-moscata-puo-davvero-essere-usata-come-una-droga/,213689,191072,"215,08",189960,"71,43%","88,70%","0,00",Valerio Berra,"Amici 22, la noce moscata può davvero essere usata come una droga?",2023-01-13T18:32:20+01:00
/innovazione/scienze/quali-sono-i-sintomi-di-covid-della-nuova-variante-eris-arrivata-anche-in-italia/,206967,192397,"362,58",189514,"44,21%","91,82%","0,00",Valeria Aiello,Quali sono i sintomi di Covid della variante Eris dominante in Italia,2023-12-07T17:01:36+01:00
/innovazione/scienze/alzheimer-confermato-il-ruolo-dei-batteri-intestinali-trapianto-fecale-fa-ammalare-ratti-giovani/,204802,186333,"313,29",184467,"69,18%","88,62%","0,00",Andrea Centini,"Alzheimer, confermato il ruolo dei batteri intestinali: trapianto fecale fa ammalare ratti giovani",2023-10-19T16:20:19+02:00
/innovazione/tecnologia/buon-ferragosto-2023-immagini-e-gif-da-scaricare-gratis-per-gli-auguri-del-15-agosto/,201401,164783,"262,19",163594,"54,61%","80,96%","0,00",Redazione Innovazione,"Buon Ferragosto 2023, immagini e gif da scaricare gratis per gli auguri del 15 agosto",2023-08-15T06:32:16+02:00
/innovazione/scienze/abbiamo-capito-quale-prodotto-chimico-puo-essere-la-causa-del-morbo-di-parkinson/,199675,182313,"216,36",180247,"77,00%","90,11%","0,00",Valeria Aiello,Abbiamo capito quale prodotto chimico può essere la causa del morbo di Parkinson,2023-03-18T11:21:25+01:00
/innovazione/tecnologia/anche-oggi-libero-e-virgilio-sono-in-down-perche-non-funzionano-e-cosa-sta-succedendo/,197166,183083,"362,01",180934,"45,65%","90,59%","0,00",Valerio Berra,"Anche oggi Libero Mail e Virgilio in down, perché non funzionano e quando finiranno i problemi",2023-06-15T09:29:56+02:00
/innovazione/tecnologia/libero-mail-funziona-quasi-a-tutti-cosa-succede-adesso-alle-mail-ricevute-durante-la-settimana/,195513,179919,"280,14",177014,"60,17%","90,11%","0,00",Valerio Berra,"Libero Mail funziona quasi a tutti, cosa succede adesso alle mail ricevute durante la settimana",2023-01-28T12:59:17+01:00
/innovazione/scienze/stiamo-perdendo-il-cromosoma-y-e-non-e-una-buona-notizia-piu-cancro-e-rischio-estinzione/,192656,178342,"247,67",176893,"73,29%","90,80%","0,00",Andrea Centini,Stiamo perdendo il cromosoma Y e non è una buona notizia: più cancro e rischio estinzione,2023-06-25T09:28:56+02:00
/innovazione/scienze/studio-svela-dove-ripararsi-in-caso-di-esplosione-nucleare-ecco-i-posti-migliori-e-peggiori/,190427,162921,"216,00",158423,"71,68%","82,20%","0,00",Andrea Centini,Studio svela dove ripararsi in caso di esplosione nucleare: ecco i posti migliori e peggiori,2023-01-18T14:00:19+01:00
/innovazione/scienze/forte-associazione-tra-pfas-e-cancro-nelle-donne-nuovo-studio-preoccupa-gli-esperti/,188918,175858,"319,21",174245,"68,09%","90,65%","0,00",Andrea Centini,Forte associazione tra PFAS e cancro nelle donne: nuovo studio preoccupa gli esperti,2023-09-18T12:36:01+02:00
/innovazione/tecnologia/google-ora-puo-avvisarti-quando-qualcuno-cerca-le-tue-informazioni-personali/,187952,171623,"269,39",169814,"67,55%","89,83%","0,00",Elisabetta Rosso,Google ora può avvisarti quando qualcuno cerca le tue informazioni personali,2023-10-30T09:38:57+01:00
/innovazione/tecnologia/abbiamo-chiesto-allintelligenza-artificiale-di-immaginare-il-futuro-della-terra-non-e-andata-bene/,187446,170667,"244,69",167724,"65,62%","89,15%","0,00",Elisabetta Rosso,"Abbiamo chiesto all’intelligenza artificiale di immaginare il futuro della Terra, non è andata bene",2023-04-22T09:12:11+02:00
/innovazione/tecnologia/quanti-follower-ha-perso-chiara-ferragni-il-valore-del-suo-profilo-instagram-dopo-il-caso-balocco/,183932,170549,"310,41",169490,"69,39%","92,08%","0,00",Valerio Berra,Quanti follower ha perso Chiara Ferragni: il valore del suo profilo Instagram dopo il caso Balocco,2023-12-29T17:52:17+01:00
/innovazione/tecnologia/buon-anno-2023-immagini-divertenti-e-gif-gratis-per-gli-auguri-di-capodanno/,182331,148246,"276,64",146488,"64,85%","80,43%","0,00",Redazione Innovazione,"Buon anno 2023, immagini divertenti e Gif gratis per gli auguri di Capodanno",2022-12-31T13:02:22+01:00
/innovazione/scienze/notte-di-san-lorenzo-2023-quando-vedere-le-stelle-cadenti-data-e-orari-del-picco/,181272,167461,"394,31",166827,"49,58%","91,62%","0,00",Andrea Centini,"Notte di San Lorenzo 2023, quando vedere le stelle cadenti: data e orari del picco",2023-08-10T06:01:18+02:00
/innovazione/tecnologia/buona-pasqua-2023-le-immagini-e-gif-piu-belle-da-scaricare-gratis-per-gli-auguri-il-9-aprile/,180316,145931,"291,95",145259,"54,54%","80,43%","0,00",Redazione Innovazione,"Buona Pasqua 2023, le immagini e Gif più belle da scaricare gratis per gli auguri il 9 aprile",2023-04-08T16:00:43+02:00
/innovazione/tecnologia/lunione-europea-dara-premi-in-denaro-a-chi-consegna-i-vecchi-smartphone/,179348,164607,"278,80",161884,"65,08%","89,86%","0,00",Elisabetta Rosso,L’Unione europea darà premi in denaro a chi consegna i vecchi smartphone,2023-10-17T12:36:26+02:00
/innovazione/scienze/luna-piena-stanotte-31-agosto-2023-a-che-ora-vedere-la-superluna-blu-e-perche-si-chiama-cosi/,176668,159911,"401,52",159549,"47,83%","90,09%","0,00",Valeria Aiello,"Luna piena oggi 31 agosto 2023, a che ora vedere la Superluna Blu e perché si chiama così",2023-08-30T06:00:32+02:00
/innovazione/scienze/scoperto-come-ottenere-energia-pulita-dallaria-illimitata-e-24-ore-su-24-possibile-rivoluzione/,176285,159601,"365,18",157081,"60,72%","89,03%","0,00",Andrea Centini,"Scoperto come ottenere energia pulita dall’aria, illimitata e 24 ore su 24: possibile rivoluzione",2023-05-28T10:03:15+02:00
/innovazione/scienze/scienziati-vicini-alla-scoperta-della-quinta-forza-della-natura-cose-e-perche-e-rivoluzionaria/,172668,156532,"369,02",153619,"59,14%","87,47%","0,00",Andrea Centini,Scienziati vicini alla scoperta della “Quinta Forza” della natura: cos’è e perché è rivoluzionaria,2023-08-11T12:20:16+02:00
/innovazione/scienze/cosa-significa-che-il-sottomarino-titan-e-imploso-e-come-sono-morti-i-suoi-passeggeri/,171241,150649,"313,76",149060,"50,83%","86,71%","0,00",Valeria Aiello,Il sottomarino Titan disperso è imploso: cosa significa e come sono morti i 5 passeggeri,2023-06-23T11:00:37+02:00
/innovazione/scienze/navicella-cinese-seguita-da-sei-oggetti-misteriosi-tracciata-nello-spazio-di-cosa-si-tratta/,169749,153680,"289,16",151162,"67,70%","87,85%","0,00",Andrea Centini,Navicella cinese seguita da sei oggetti misteriosi tracciata nello spazio: di cosa si tratta,2023-12-21T10:38:40+01:00
/innovazione/scienze/farmaco-elimina-tutto-il-peso-in-eccesso-in-test-di-laboratorio-anche-con-una-dieta-ipercalorica/,166175,152608,"288,38",149663,"65,97%","90,05%","0,00",Andrea Centini,"Farmaco elimina tutto il peso in eccesso in test di laboratorio, anche con una dieta ipercalorica",2023-09-07T10:41:32+02:00
/innovazione/tecnologia/come-recedere-dal-conto-isybank-e-tornare-a-intesa-san-paolo-dopo-il-passaggio/,161908,144707,"323,05",137377,"53,67%","85,15%","0,00",Valerio Berra,Come recedere dal conto Isybank e tornare a Intesa San Paolo dopo il passaggio,2023-10-09T18:34:27+02:00
/innovazione/tecnologia/it-alert-torna-a-suonare-quando-e-dove-sono-previsti-i-nuovi-test/,161846,150177,"205,96",149482,"59,69%","92,02%","0,00",Valerio Berra,"IT-Alert torna a suonare, i nuovi test il 19 e il 20 dicembre: quando e dove arriva il messaggio",2023-12-20T08:37:41+01:00
/innovazione/scienze/la-cometa-dei-neanderthal-e-ora-visibile-a-occhio-nudo-non-perderla-non-tornera-mai-piu/,161474,142880,"150,51",140353,"75,08%","85,18%","0,00",Andrea Centini,"La cometa dei Neanderthal è ora visibile a occhio nudo, non perderla (non tornerà mai più)",2023-01-23T17:01:11+01:00
/innovazione/tecnologia/prima-di-mettere-sui-social-la-prossima-foto-dei-vostri-figli-dovreste-guardare-questo-video/,160999,141025,"230,42",139522,"53,64%","86,51%","0,00",Valerio Berra,Prima di mettere sui social la prossima foto dei vostri figli dovreste guardare questo video,2023-07-19T13:32:03+02:00
/innovazione/scienze/perche-freddo-e-stress-rendono-le-dita-bianche-scoperta-la-causa-genetica-del-fenomeno-di-raynaud/,160206,144668,"311,44",143587,"67,39%","89,22%","0,00",Andrea Centini,Perché freddo e stress rendono le dita bianche: scoperta la causa genetica del Fenomeno di Raynaud,2023-10-17T19:58:27+02:00
/innovazione/scienze/a-soli-14-anni-heman-ha-creato-un-sapone-contro-il-cancro-della-pelle-costa-solo-mezzo-dollaro/,154506,142234,"237,29",140841,"80,20%","90,41%","0,00",Andrea Centini,A 14 anni Heman ha creato un sapone contro il cancro della pelle: produrlo costa solo mezzo dollaro,2023-11-10T15:31:39+01:00
/innovazione/scienze/i-capelli-bianchi-di-un-uomo-tornano-a-scurirsi-non-e-un-miracolo-ma-il-raro-segno-di-un-melanoma/,152510,142621,"202,93",141362,"84,57%","92,15%","0,00",Andrea Centini,"I capelli bianchi di un uomo tornano a scurirsi: non è un miracolo, ma il raro segno di un melanoma",2023-03-06T17:16:59+01:00
/innovazione/scienze/questi-quattro-fattori-rovinano-la-coppia-e-causano-il-divorzio/,150533,138827,"217,05",136733,"77,80%","91,18%","0,00",Valeria Aiello,Questi quattro fattori rovinano la coppia (e causano il divorzio),2023-03-07T16:02:43+01:00
/innovazione/tecnologia/perche-dillo-allavvocato-di-luis-sal-e-gia-il-meme-dellanno/,144304,125050,"349,18",124532,"44,36%","86,10%","0,00",Valerio Berra,Perché “Dillo all’avvocato” di Luis Sal è già il meme dell’anno,2023-06-10T10:04:43+02:00
/innovazione/tecnologia/come-capire-se-sei-gia-passato-a-isybank/,144207,127918,"301,04",123331,"56,86%","85,24%","0,00",Elisabetta Rosso,Come capire se sei già passato a Isybank,2023-10-13T08:03:12+02:00
/innovazione/scienze/satellite-della-nasa-in-caduta-incontrollata-verso-la-terra-si-schiantera-tra-domenica-e-lunedi/,144061,134253,"212,84",132739,"74,19%","92,35%","0,00",Andrea Centini,Satellite della NASA in caduta incontrollata verso la Terra: si schianterà tra domenica e lunedì,2023-01-07T18:06:56+01:00
/innovazione/scienze/berlusconi-e-la-leucemia-quali-sono-i-sintomi-le-cause-e-come-si-cura-il-tumore-del-sangue/,139571,126515,"334,94",125417,"72,19%","89,46%","0,00",Andrea Centini,Cos’è la leucemia mielomonocitica cronica di cui soffriva Berlusconi: sintomi e come si cura,2023-06-12T11:38:39+02:00
/innovazione/tecnologia/speranze-per-il-sottomarino-titan-inviati-il-victor-6000-e-il-nautile-arrivano-a-6000-metri/,139461,129293,"392,69",123840,"46,37%","90,10%","0,00",Andrea Centini,"Speranze per il sottomarino Titan, inviati il Victor 6000 e il Nautile: arrivano a 6000 metri",2023-06-21T20:53:45+02:00
/innovazione/scienze/creata-nuova-farina-per-pane-che-abbatte-i-livelli-di-glucosio-e-fa-sentire-sazi-come-fatta/,138378,127012,"213,74",125838,"77,93%","91,18%","0,00",Andrea Centini,Creata nuova farina per pane che abbatte i livelli di glucosio e fa sentire sazi: com’è fatta,2023-02-20T14:17:51+01:00
/innovazione/scienze/le-zanzare-sono-attratte-dallodore-di-alcuni-saponi-ecco-quali-le-attirano-e-quali-sono-repellenti/,133448,123184,"275,50",121157,"70,04%","91,17%","0,00",Valeria Aiello,Le zanzare sono attratte dall’odore di alcuni saponi: ecco quali le attirano e quali sono repellenti,2023-05-11T11:11:27+02:00
/innovazione/tecnologia/cosa-si-vede-nei-viaggi-con-il-sottomarino-vicino-al-relitto-del-titanic-tutte-le-immagini/,132158,115654,"316,34",112267,"56,04%","85,17%","0,00",Valerio Berra,"Cosa si vede nei viaggi con il sottomarino vicino al relitto del Titanic, tutte le immagini",2023-06-20T19:35:09+02:00
/innovazione/scienze/questa-mucca-vale-circa-43-milioni-di-euro/,131614,119221,"238,25",118676,"68,88%","89,88%","0,00",Valerio Berra,"Questa mucca vale circa 4,3 milioni di euro",2023-06-29T11:42:13+02:00
/innovazione/scienze/adolescente-arriva-in-ospedale-con-dolori-lancinanti-aveva-ingoiato-21-magneti-senza-ricordarlo/,131409,123376,"248,09",121331,"81,77%","90,96%","0,00",Andrea Centini,Adolescente arriva in ospedale con dolori lancinanti: aveva ingoiato 21 magneti (senza ricordarlo),2023-11-04T13:06:20+01:00
/innovazione/scienze/come-trovare-la-posizione-esatta-della-cometa-dei-neanderthal-nel-cielo-della-tua-citta/,130462,106987,"397,35",105396,"54,95%","80,52%","0,00",Andrea Centini,Come trovare la posizione esatta della cometa dei Neanderthal nel cielo della tua città,2023-01-28T15:46:45+01:00
/innovazione/tecnologia/perche-non-e-arrivato-il-messaggio-it-alert-del-sistema-di-allarme-pubblico-e-cosa-fare-dopo-il-test/,130107,117003,"265,92",114908,"56,90%","85,78%","0,00",Elisabetta Rosso,Perché non è arrivato il messaggio IT-Alert del sistema di allarme pubblico e cosa fare dopo il test,2023-12-18T16:03:00+01:00
/innovazione/scienze/semaglutide-studio-conferma-notevole-efficacia-nella-perdita-di-peso-50-ragazzi-esce-dallobesita/,129775,115691,"190,53",114573,"67,43%","87,21%","0,00",Andrea Centini,"Semaglutide, studio conferma notevole efficacia nella perdita di peso: 50% ragazzi esce dall’obesità",2023-05-18T12:58:53+02:00
/innovazione/scienze/cose-linfiammazione-polmonare-che-ha-colpito-papa-francesco-cause-sintomi-e-cura/,129344,117008,"277,90",116020,"60,10%","88,47%","0,00",Andrea Centini,"Cos’è l’infiammazione polmonare: cause, sintomi e cura",2023-11-30T09:22:05+01:00
/innovazione/tecnologia/il-robot-ai-che-ha-parlato-della-futura-ribellione-contro-gli-umani-per-ora-sono-contento-cosi/,128839,116819,"322,89",115329,"61,76%","88,10%","0,00",Elisabetta Rosso,Il robot AI che ha parlato della futura ribellione contro gli umani: “Per ora sono contento così”,2023-07-09T11:58:56+02:00
/innovazione/tecnologia/buona-festa-della-mamma-2023-immagini-e-gif-divertenti-per-gli-auguri-il-14-maggio/,128376,106818,"249,68",105993,"59,33%","82,18%","0,00",Redazione Innovazione,"Buona festa della mamma 2023, immagini e gif divertenti per gli auguri il 14 maggio",2023-05-14T05:02:12+02:00
