Pagina;Views;Uniche;Tempo;Entrate;Rimbalzo;uscita;Valore
/innovazione/scienze/le-immagini-di-kefir-il-magnifico-gatto-maine-coon-da-record-che-vive-in-russia/;249781;216165;198,79;214927;61,40%;86,02%;0,00
/innovazione/tecnologia/sulle-spiagge-dellaustralia-e-arrivato-questo-oggetto-misterioso-potrebbe-arrivare-dallo-spazio/;248060;226133;215,88;224405;70,58%;89,71%;0,00
/innovazione/tecnologia/questionario-it-alert-dove-trovare-il-link-e-come-compilarlo-sul-sito-ufficiale/;236243;189914;233,54;172977;35,82%;75,72%;0,00
/innovazione/scienze/caso-giulia-cecchettin-lo-psichiatra-ce-un-modo-per-capire-se-una-relazione-e-tossica/;235747;208473;354,76;206326;40,58%;87,45%;0,00
/innovazione/scienze/ha-gravi-crisi-di-vomito-per-2-anni-consecutivi-medici-scoprono-legame-con-la-cannabis/;235651;219104;175,19;218265;84,61%;92,39%;0,00
/innovazione/scienze/cose-la-stimolazione-transcranica-cui-si-sta-sottoponendo-fedez-benefici-ed-effetti-collaterali/;231442;211587;333,25;206038;67,46%;89,31%;0,00
/innovazione/scienze/nel-regno-unito-e-nato-un-bambino-con-il-dna-di-3-genitori-come-possibile/;229461;213334;244,38;208511;68,46%;90,80%;0,00
/innovazione/scienze/la-terra-ha-appena-ricevuto-un-messaggio-trasmesso-da-un-raggio-laser-da-16-milioni-di-km-di-distanza/;227756;210783;241,38;209187;44,23%;90,44%;0,00
/innovazione/tecnologia/abbiamo-chiesto-a-chatgpt-le-soluzioni-delle-tracce-di-maturita-allo-scientifico-non-e-andata-bene/;221734;206576;309,54;204694;67,03%;92,06%;0,00
/innovazione/scienze/eclissi-anulare-oggi-14-ottobre-a-che-ora-vedere-lanello-di-fuoco-in-diretta-dallitalia/;215980;196361;261,71;195368;63,20%;89,60%;0,00
/innovazione/tecnologia/amici-22-la-noce-moscata-puo-davvero-essere-usata-come-una-droga/;213689;191072;215,08;189960;71,43%;88,70%;0,00
/innovazione/scienze/quali-sono-i-sintomi-di-covid-della-nuova-variante-eris-arrivata-anche-in-italia/;206967;192397;362,58;189514;44,21%;91,82%;0,00
/innovazione/scienze/alzheimer-confermato-il-ruolo-dei-batteri-intestinali-trapianto-fecale-fa-ammalare-ratti-giovani/;204802;186333;313,29;184467;69,18%;88,62%;0,00
/innovazione/tecnologia/buon-ferragosto-2023-immagini-e-gif-da-scaricare-gratis-per-gli-auguri-del-15-agosto/;201401;164783;262,19;163594;54,61%;80,96%;0,00
/innovazione/scienze/abbiamo-capito-quale-prodotto-chimico-puo-essere-la-causa-del-morbo-di-parkinson/;199675;182313;216,36;180247;77,00%;90,11%;0,00
/innovazione/tecnologia/anche-oggi-libero-e-virgilio-sono-in-down-perche-non-funzionano-e-cosa-sta-succedendo/;197166;183083;362,01;180934;45,65%;90,59%;0,00
/innovazione/tecnologia/libero-mail-funziona-quasi-a-tutti-cosa-succede-adesso-alle-mail-ricevute-durante-la-settimana/;195513;179919;280,14;177014;60,17%;90,11%;0,00
/innovazione/scienze/stiamo-perdendo-il-cromosoma-y-e-non-e-una-buona-notizia-piu-cancro-e-rischio-estinzione/;192656;178342;247,67;176893;73,29%;90,80%;0,00
/innovazione/scienze/studio-svela-dove-ripararsi-in-caso-di-esplosione-nucleare-ecco-i-posti-migliori-e-peggiori/;190427;162921;216,00;158423;71,68%;82,20%;0,00
/innovazione/scienze/forte-associazione-tra-pfas-e-cancro-nelle-donne-nuovo-studio-preoccupa-gli-esperti/;188918;175858;319,21;174245;68,09%;90,65%;0,00
/innovazione/tecnologia/google-ora-puo-avvisarti-quando-qualcuno-cerca-le-tue-informazioni-personali/;187952;171623;269,39;169814;67,55%;89,83%;0,00
/innovazione/tecnologia/abbiamo-chiesto-allintelligenza-artificiale-di-immaginare-il-futuro-della-terra-non-e-andata-bene/;187446;170667;244,69;167724;65,62%;89,15%;0,00
/innovazione/tecnologia/quanti-follower-ha-perso-chiara-ferragni-il-valore-del-suo-profilo-instagram-dopo-il-caso-balocco/;183932;170549;310,41;169490;69,39%;92,08%;0,00
/innovazione/tecnologia/buon-anno-2023-immagini-divertenti-e-gif-gratis-per-gli-auguri-di-capodanno/;182331;148246;276,64;146488;64,85%;80,43%;0,00
/innovazione/scienze/notte-di-san-lorenzo-2023-quando-vedere-le-stelle-cadenti-data-e-orari-del-picco/;181272;167461;394,31;166827;49,58%;91,62%;0,00
/innovazione/tecnologia/buona-pasqua-2023-le-immagini-e-gif-piu-belle-da-scaricare-gratis-per-gli-auguri-il-9-aprile/;180316;145931;291,95;145259;54,54%;80,43%;0,00
/innovazione/tecnologia/lunione-europea-dara-premi-in-denaro-a-chi-consegna-i-vecchi-smartphone/;179348;164607;278,80;161884;65,08%;89,86%;0,00
/innovazione/scienze/luna-piena-stanotte-31-agosto-2023-a-che-ora-vedere-la-superluna-blu-e-perche-si-chiama-cosi/;176668;159911;401,52;159549;47,83%;90,09%;0,00
/innovazione/scienze/scoperto-come-ottenere-energia-pulita-dallaria-illimitata-e-24-ore-su-24-possibile-rivoluzione/;176285;159601;365,18;157081;60,72%;89,03%;0,00
/innovazione/scienze/scienziati-vicini-alla-scoperta-della-quinta-forza-della-natura-cose-e-perche-e-rivoluzionaria/;172668;156532;369,02;153619;59,14%;87,47%;0,00
/innovazione/scienze/cosa-significa-che-il-sottomarino-titan-e-imploso-e-come-sono-morti-i-suoi-passeggeri/;171241;150649;313,76;149060;50,83%;86,71%;0,00
/innovazione/scienze/navicella-cinese-seguita-da-sei-oggetti-misteriosi-tracciata-nello-spazio-di-cosa-si-tratta/;169749;153680;289,16;151162;67,70%;87,85%;0,00
/innovazione/scienze/farmaco-elimina-tutto-il-peso-in-eccesso-in-test-di-laboratorio-anche-con-una-dieta-ipercalorica/;166175;152608;288,38;149663;65,97%;90,05%;0,00
/innovazione/tecnologia/come-recedere-dal-conto-isybank-e-tornare-a-intesa-san-paolo-dopo-il-passaggio/;161908;144707;323,05;137377;53,67%;85,15%;0,00
/innovazione/tecnologia/it-alert-torna-a-suonare-quando-e-dove-sono-previsti-i-nuovi-test/;161846;150177;205,96;149482;59,69%;92,02%;0,00
/innovazione/scienze/la-cometa-dei-neanderthal-e-ora-visibile-a-occhio-nudo-non-perderla-non-tornera-mai-piu/;161474;142880;150,51;140353;75,08%;85,18%;0,00
/innovazione/tecnologia/prima-di-mettere-sui-social-la-prossima-foto-dei-vostri-figli-dovreste-guardare-questo-video/;160999;141025;230,42;139522;53,64%;86,51%;0,00
/innovazione/scienze/perche-freddo-e-stress-rendono-le-dita-bianche-scoperta-la-causa-genetica-del-fenomeno-di-raynaud/;160206;144668;311,44;143587;67,39%;89,22%;0,00
/innovazione/scienze/a-soli-14-anni-heman-ha-creato-un-sapone-contro-il-cancro-della-pelle-costa-solo-mezzo-dollaro/;154506;142234;237,29;140841;80,20%;90,41%;0,00
/innovazione/scienze/i-capelli-bianchi-di-un-uomo-tornano-a-scurirsi-non-e-un-miracolo-ma-il-raro-segno-di-un-melanoma/;152510;142621;202,93;141362;84,57%;92,15%;0,00
/innovazione/scienze/questi-quattro-fattori-rovinano-la-coppia-e-causano-il-divorzio/;150533;138827;217,05;136733;77,80%;91,18%;0,00
/innovazione/tecnologia/perche-dillo-allavvocato-di-luis-sal-e-gia-il-meme-dellanno/;144304;125050;349,18;124532;44,36%;86,10%;0,00
/innovazione/tecnologia/come-capire-se-sei-gia-passato-a-isybank/;144207;127918;301,04;123331;56,86%;85,24%;0,00
/innovazione/scienze/satellite-della-nasa-in-caduta-incontrollata-verso-la-terra-si-schiantera-tra-domenica-e-lunedi/;144061;134253;212,84;132739;74,19%;92,35%;0,00
/innovazione/scienze/berlusconi-e-la-leucemia-quali-sono-i-sintomi-le-cause-e-come-si-cura-il-tumore-del-sangue/;139571;126515;334,94;125417;72,19%;89,46%;0,00
/innovazione/tecnologia/speranze-per-il-sottomarino-titan-inviati-il-victor-6000-e-il-nautile-arrivano-a-6000-metri/;139461;129293;392,69;123840;46,37%;90,10%;0,00
/innovazione/scienze/creata-nuova-farina-per-pane-che-abbatte-i-livelli-di-glucosio-e-fa-sentire-sazi-come-fatta/;138378;127012;213,74;125838;77,93%;91,18%;0,00
/innovazione/scienze/le-zanzare-sono-attratte-dallodore-di-alcuni-saponi-ecco-quali-le-attirano-e-quali-sono-repellenti/;133448;123184;275,50;121157;70,04%;91,17%;0,00
/innovazione/tecnologia/cosa-si-vede-nei-viaggi-con-il-sottomarino-vicino-al-relitto-del-titanic-tutte-le-immagini/;132158;115654;316,34;112267;56,04%;85,17%;0,00
/innovazione/scienze/questa-mucca-vale-circa-43-milioni-di-euro/;131614;119221;238,25;118676;68,88%;89,88%;0,00
/innovazione/scienze/adolescente-arriva-in-ospedale-con-dolori-lancinanti-aveva-ingoiato-21-magneti-senza-ricordarlo/;131409;123376;248,09;121331;81,77%;90,96%;0,00
/innovazione/scienze/come-trovare-la-posizione-esatta-della-cometa-dei-neanderthal-nel-cielo-della-tua-citta/;130462;106987;397,35;105396;54,95%;80,52%;0,00
/innovazione/tecnologia/perche-non-e-arrivato-il-messaggio-it-alert-del-sistema-di-allarme-pubblico-e-cosa-fare-dopo-il-test/;130107;117003;265,92;114908;56,90%;85,78%;0,00
/innovazione/scienze/semaglutide-studio-conferma-notevole-efficacia-nella-perdita-di-peso-50-ragazzi-esce-dallobesita/;129775;115691;190,53;114573;67,43%;87,21%;0,00
/innovazione/scienze/cose-linfiammazione-polmonare-che-ha-colpito-papa-francesco-cause-sintomi-e-cura/;129344;117008;277,90;116020;60,10%;88,47%;0,00
/innovazione/tecnologia/il-robot-ai-che-ha-parlato-della-futura-ribellione-contro-gli-umani-per-ora-sono-contento-cosi/;128839;116819;322,89;115329;61,76%;88,10%;0,00
/innovazione/tecnologia/buona-festa-della-mamma-2023-immagini-e-gif-divertenti-per-gli-auguri-il-14-maggio/;128376;106818;249,68;105993;59,33%;82,18%;0,00
/innovazione/tecnologia/da-novembre-instagram-e-facebook-a-pagamento-arrivano-in-europa-quanto-costeranno/;128333;121635;251,09;120836;53,40%;93,99%;0,00
/innovazione/tecnologia/quanto-guadagnano-dai-loro-video-i-the-borderline-gli-youtuber-dellincidente-in-lamborghini/;128202;114133;287,33;112477;55,82%;87,05%;0,00
/innovazione/tecnologia/cosa-cambiera-per-i-clienti-di-intesa-sanpaolo-con-il-trasferimento-a-isybank/;126245;115002;334,78;109144;55,84%;87,76%;0,00
/innovazione/tecnologia/il-bus-che-trasporta-solo-cani-sta-conquistando-tiktok-il-conducente-non-riesco-a-credere-che-sia-un-lavoro/;125912;102573;190,91;101204;75,65%;80,50%;0,00
/innovazione/scienze/perche-il-caldo-aumenta-la-probabilita-di-essere-morsi-da-un-serpente/;125881;113163;247,40;112108;70,92%;88,09%;0,00
/innovazione/tecnologia/lintelligenza-artificiale-svela-tutto-lo-sfondo-della-gioconda-ma-il-risultato-non-piace-a-nessuno/;124722;115976;314,91;111515;67,39%;88,82%;0,00
/innovazione/scienze/strage-di-maiali-pesci-conigli-e-altri-animali-in-cina-cotti-vivi-dal-caldo-estremo/;121934;113828;308,31;112683;73,23%;91,83%;0,00
/innovazione/scienze/gemello-parassita-estratto-dal-cervello-di-una-bambina-di-un-anno-il-caso-di-fetus-in-feto/;121358;105950;276,57;103045;68,79%;84,72%;0,00
/innovazione/scienze/macchia-solare-diventa-4-volte-piu-grande-in-due-giorni-rischio-brillamento-estremo-verso-la-terra/;119747;107871;282,80;105411;59,81%;86,35%;0,00
/innovazione/scienze/quanto-spesso-dovresti-fare-la-doccia-e-cosa-succede-se-ci-laviamo-troppo-o-troppo-poco/;117490;106199;272,71;103595;59,27%;88,84%;0,00
/innovazione/tecnologia/cosa-centra-elon-musk-nel-caso-del-sottomarino-disperso-e-cosa-puo-fare-per-salvarlo/;114772;103716;309,95;101451;58,24%;87,01%;0,00
/innovazione/scienze/svelato-il-segreto-della-donna-che-non-prova-dolore-ansia-e-paura-possibili-terapie-rivoluzionarie/;114763;106245;281,72;103224;73,22%;90,22%;0,00
/innovazione/tecnologia/perche-due-milioni-di-clienti-di-intesa-sanpaolo-verranno-trasferiti-su-isybank/;113030;102924;321,16;98513;57,55%;88,29%;0,00
/innovazione/scienze/scimmia-chimera-con-dita-luminose-e-occhi-brillanti-fatta-nascere-in-cina-e-vissuta-solo-10-giorni/;112966;103977;240,58;102642;75,83%;89,24%;0,00
/innovazione/tecnologia/i-the-borderline-non-potranno-piu-guadagnare-dal-loro-canale-youtube-cosa-ha-deciso-la-piattaforma/;112458;103166;279,24;102409;54,67%;90,04%;0,00
/innovazione/scienze/primo-caso-mortale-di-ameba-mangia-cervello-in-corea-del-sud-il-paziente-aveva-sintomi-da-meningite/;112309;104953;204,02;103509;80,40%;92,21%;0,00
/innovazione/tecnologia/intesa-sanpaolo-down-oggi-bloccati-i-servizi-della-banca-cosa-sta-succedendo/;111569;98387;179,93;97832;57,71%;87,23%;0,00
/innovazione/tecnologia/libero-e-virgilio-mail-down-anche-oggi-la-causa-dei-problemi-quando-saranno-risolti-e-i-reclami/;111501;103423;257,20;100892;55,13%;90,85%;0,00
/innovazione/tecnologia/buona-epifania-2023-immagini-divertenti-e-gif-gratis-per-gli-auguri-alla-befana/;111441;89296;242,17;88653;64,56%;79,34%;0,00
/innovazione/scienze/chatgpt-trova-la-diagnosi-per-un-bambino-che-stava-male-da-3-anni-era-stato-visitato-da-17-medici/;111102;101346;341,71;100154;65,94%;89,17%;0,00
/innovazione/tecnologia/dopo-il-down-libero-mail-apre-ai-rimborsi-per-gli-utenti-ecco-cosa-fare-per-averli/;107930;100468;240,13;98226;63,59%;91,26%;0,00
/innovazione/scienze/isla-la-bimba-prodigio-col-qi-da-genio-a-soli-2-anni-e-entrata-nel-mensa-la-piu-giovane-di-sempre/;107537;99205;270,61;97298;74,69%;90,88%;0,00
/innovazione/tecnologia/abbiamo-sentito-delle-voci-le-strane-registrazioni-delle-sonde-lanciate-nella-stratosfera/;106142;98774;307,17;96529;69,29%;89,91%;0,00
/innovazione/scienze/come-riconoscere-le-cimici-dei-letti-dove-si-nascondono-e-come-eliminarle-in-casa/;105427;96628;350,31;95475;63,68%;90,70%;0,00
/innovazione/tecnologia/instagram-e-facebook-diventano-a-pagamento-quanto-costa-verificare-laccount-con-la-spunta-blu/;104411;99200;246,58;98008;54,84%;93,84%;0,00
/innovazione/tecnologia/il-guru-delle-criptovalute-satto-perde-in-diretta-870-000-dollari-la-sua-reazione-davanti-ai-fan/;102883;95892;266,10;94726;65,95%;92,05%;0,00
/innovazione/tecnologia/perche-tiktok-ha-bloccato-laccount-di-monica-poli-la-donna-che-urla-attenzione-pickpockets/;102714;95419;249,34;93776;77,54%;91,22%;0,00
/innovazione/tecnologia/oggi-i-primi-trasferimenti-a-isybank-da-intesa-sanpaolo-cosa-cambia-per-iban-e-carte/;102440;88754;270,02;86743;51,90%;81,70%;0,00
/innovazione/tecnologia/buon-santo-stefano-2023-immagini-e-gif-per-gli-auguri-del-26-dicembre/;101329;83500;194,76;82963;56,49%;81,59%;0,00
/innovazione/scienze/ridurre-un-amminoacido-nella-dieta-dei-topi-allunga-la-vita-del-33-forse-funziona-anche-nelluomo/;101053;91836;251,44;91299;64,72%;89,53%;0,00
/innovazione/scienze/luna-piena-oggi-1-agosto-2023-a-che-ora-vedere-la-superluna-dello-storione-e-perche-si-chiama-cosi/;100989;91450;346,43;90802;59,09%;89,86%;0,00
/innovazione/scienze/splendida-collana-doro-di-un-passeggero-del-titanic-scoperta-nei-pressi-del-relitto/;98508;86529;245,44;85045;68,54%;85,63%;0,00
/innovazione/tecnologia/quando-tornano-a-funzionare-libero-e-virgilio-non-ci-saranno-rimborsi-problemi-stanno-rientrando/;98367;90447;277,96;85531;57,45%;89,00%;0,00
/innovazione/scienze/cose-lo-stretto-di-messina-come-si-e-formato-e-perche-e-complesso-costruirci-un-ponte-sopra/;98195;82770;314,53;82182;68,86%;83,51%;0,00
/innovazione/tecnologia/quasi-100-anni-fa-guglielmo-marconi-aveva-previsto-una-cosa-che-ora-usiamo-tutti-i-giorni/;97108;89072;267,70;88362;77,52%;90,77%;0,00
/innovazione/tecnologia/un-robot-inietta-lo-sperma-e-nascono-due-bambini-inizia-cosi-la-rivoluzione-delle-nascite/;96998;90390;288,19;88475;69,86%;91,54%;0,00
/innovazione/scienze/la-semaglutide-il-farmaco-miracoloso-per-perdere-peso-ha-anche-effetti-anti-cancro-lo-studio/;96467;87986;233,76;85353;65,45%;89,38%;0,00
/innovazione/scienze/nuova-pillola-anti-obesita-sicura-e-molto-efficace-eliminato-fino-al-13-del-peso-in-6-mesi/;93050;84568;294,51;83303;62,98%;89,16%;0,00
/innovazione/scienze/cose-lidrogeno-bianco-e-perche-il-giacimento-scoperto-in-francia-puo-servire-a-salvare-il-pianeta/;92284;83303;305,61;81683;73,27%;86,75%;0,00
/innovazione/scienze/primo-morto-in-europa-a-causa-della-droga-zombie-cose-la-xilazina-e-quali-sono-le-conseguenze/;92103;86799;295,97;83848;61,23%;90,21%;0,00
/innovazione/scienze/la-balena-spia-russa-e-arrivata-lungo-le-coste-svedesi-e-gli-scienziati-non-sanno-perche/;92059;86427;316,26;83724;71,20%;91,29%;0,00
/innovazione/scienze/;91512;57140;180,16;44159;63,05%;46,53%;0,00
/innovazione/scienze/scoperte-due-specie-di-uccelli-velenosi-la-loro-arma-e-una-potentissima-neurotossina/;91279;84204;280,64;82269;75,96%;90,31%;0,00
/innovazione/tecnologia/le-turbolenze-possono-far-cadere-un-aereo-cosa-dicono-i-piloti/;91206;84279;321,07;83598;58,74%;90,82%;0,00
/innovazione/tecnologia/titanic-dopo-oltre-100-anni-le-nuove-immagini-del-relitto-svelano-i-segreti-del-naufragio/;91134;81039;268,49;79700;60,01%;87,25%;0,00
/innovazione/scienze/cosa-sappiamo-dello-scienziato-al-centro-dello-scandalo-dei-bambini-geneticamente-modificati/;90645;83821;219,09;81118;80,54%;89,02%;0,00
/innovazione/scienze/restano-poche-ore-di-ossigeno-sul-titan-come-reagisce-il-corpo-umano-quando-scarseggia/;89141;81270;427,52;77977;42,93%;85,16%;0,00
/innovazione/scienze/lumanita-a-un-passo-da-uninevitabile-correzione-della-popolazione-cose-e-cosa-ci-aspetta/;88632;79149;370,54;76763;60,10%;85,30%;0,00
/innovazione/tecnologia/la-nasa-svela-cosa-ha-trovato-nei-frammenti-dellasteroide-bennu-e-bellissimo/;88034;79288;300,82;78376;62,78%;87,85%;0,00
/innovazione/tecnologia/buona-vigilia-di-natale-2023-immagini-e-gif-divertenti-da-inviare-il-24-dicembre/;87893;72948;230,18;67462;46,76%;78,87%;0,00
/innovazione/tecnologia/ora-possiamo-collegare-whatsapp-al-nostro-indirizzo-mail-come-attivare-la-nuova-funzione/;87392;80810;249,08;80273;36,25%;91,03%;0,00
/innovazione/tecnologia/ora-sappiamo-cose-questo-oggetto-misterioso-arrivato-sulle-spiagge-dellaustralia/;87355;81369;223,02;80402;66,78%;91,26%;0,00
/innovazione/OLD_scienze.fanpage.it/perche-ci-sono-sagome-di-uccelli-neri-disegnate-sui-vetri-delle-autostrade/p9/;87191;83848;252,69;83828;48,90%;96,00%;0,00
/innovazione/scienze/perche-e-pericoloso-bere-lacqua-del-mare-e-usarla-per-condire-e-cucinare/;87130;81141;289,54;80602;45,59%;91,75%;0,00
/innovazione/tecnologia/il-nuovo-pianeta-abitabile-che-elon-musk-vorrebbe-colonizzare-come-e-fatto-e-quando-dista-dalla-terra/;86682;77990;344,33;76676;60,78%;88,14%;0,00
/innovazione/scienze/quali-sono-i-sintomi-di-covid-della-variante-eris-dominante-in-italia/;86309;80404;263,60;78949;49,72%;91,70%;0,00
/innovazione/scienze/galleria-adige-garda-cose-lopera-che-salva-verona-dalla-piena-del-fiume/;85703;71959;241,06;71612;67,14%;82,93%;0,00
/innovazione/scienze/il-nucleo-della-terra-si-e-forse-fermato-esperto-ingv-spiega-a-fanpage-possibili-effetti-e-dinamica/;85480;78225;298,28;77106;78,90%;90,17%;0,00
/innovazione/tecnologia/buona-festa-dellimmacolata-2023-immagini-e-gif-per-gli-auguri-dell8-dicembre/;84726;70868;215,99;70604;45,84%;82,92%;0,00
/innovazione/tecnologia/lei-si-chiama-claudia-vende-le-sue-foto-nuda-su-internet-ma-non-e-mai-esistita/;84518;77373;197,52;75100;57,98%;89,14%;0,00
/innovazione/tecnologia/libero-mail-e-virgilio-ancora-in-down-oggi-19-giugno-perche-le-mail-non-arrivano/;84263;77945;376,92;77507;45,26%;91,58%;0,00
/innovazione/tecnologia/la-storia-dellinfluencer-scoperta-mentre-finge-di-raccogliere-i-rifiuti-solo-per-fare-un-video/;83850;76409;229,06;74501;74,70%;88,99%;0,00
/innovazione/scienze/bambino-vampiro-sepolto-e-bloccato-al-suolo-con-un-lucchetto-per-impedirne-il-risveglio/;83238;73763;207,32;70041;56,98%;85,04%;0,00
/innovazione/scienze/cosa-sono-i-super-maiali-e-perche-gli-esperti-parlano-di-minaccia-difficile-da-fermare/;83200;75048;232,57;73662;77,59%;88,82%;0,00
/innovazione/tecnologia/netflix-spiega-finalmente-come-funzionera-la-condivisione-degli-account-in-italia-cose-il-nucleo-domestico/;83115;74671;349,03;72348;51,56%;87,46%;0,00
/innovazione/scienze/come-ha-fatto-israele-ad-abbattere-un-missile-che-viaggiava-oltre-latmosfera-terrestre/;81320;74096;281,60;72844;78,81%;88,65%;0,00
/innovazione/scienze/squali-vicino-alle-coste-lesperto-a-fanpage-it-nessun-allarme-ecco-cosa-succede/;81060;73462;325,63;73091;64,96%;89,66%;0,00
/innovazione/scienze/i-granchi-blu-hanno-iniziato-a-mangiarsi-lun-laltro-cannibali-per-fame-sono-diventati-troppi/;80945;73675;306,05;72987;69,15%;89,73%;0,00
/innovazione/scienze/cosa-devi-fare-se-vedi-un-granchio-blu/;80137;73875;317,96;72679;59,82%;89,95%;0,00
